Ryzen 3 3100
Ryzen 3 3300X
Ryzen 3 4100
Ryzen 3 4300G
Ryzen 3 4300GE
Ryzen 3 4300U
Ryzen 3 PRO 4350G
Ryzen 3 PRO 4350GE
Ryzen 3 PRO 4450U
Ryzen 5 3500X
Ryzen 5 3600
Ryzen 5 3600X
Ryzen 5 3600XT
Ryzen 5 4500
Ryzen 5 4500U
Ryzen 5 4600G
Ryzen 5 4600GE
Ryzen 5 4600H
Ryzen 5 4600HS
Ryzen 5 4600U
Ryzen 5 PRO 4650G
Ryzen 5 PRO 4650GE
Ryzen 5 PRO 4650U
Ryzen 7 3700X
Ryzen 7 3800X
Ryzen 7 3800XT
Ryzen 7 4700G
Ryzen 7 4700GE
Ryzen 7 4700U
Ryzen 7 4750U
Ryzen 7 4800H
Ryzen 7 4800HS
Ryzen 7 4800U
Ryzen 7 PRO 4750G
Ryzen 7 PRO 4750GE
Ryzen 9 3900X
Ryzen 9 3900XT
Ryzen 9 3950X
Ryzen 9 4900H
Ryzen 9 4900HS
Ryzen Embedded V2516
Ryzen Embedded V2546
Ryzen Embedded V2718
Ryzen Embedded V2748
