Xeon Bronze 3408U
Xeon Gold 5411N
Xeon Gold 5412U
Xeon Gold 5415+
Xeon Gold 5416S
Xeon Gold 5418N
Xeon Gold 5418Y
Xeon Gold 5420+
Xeon Gold 5423N
Xeon Gold 5433N
Xeon Gold 6414U
Xeon Gold 6416H
Xeon Gold 6418H
Xeon Gold 6421N
Xeon Gold 6426Y
Xeon Gold 6428N
Xeon Gold 6430
Xeon Gold 6434
Xeon Gold 6434H
Xeon Gold 6438M
Xeon Gold 6438N
Xeon Gold 6438Y+
Xeon Gold 6442Y
Xeon Gold 6444Y
Xeon Gold 6448H
Xeon Gold 6448Y
Xeon Gold 6454S
Xeon Gold 6458Q
Xeon Max 9460
Xeon Max 9462
Xeon Max 9468
Xeon Max 9470
Xeon Max 9480
Xeon Platinum 8444H
Xeon Platinum 8450H
Xeon Platinum 8452Y
Xeon Platinum 8454H
Xeon Platinum 8458P
Xeon Platinum 8460H
Xeon Platinum 8460Y+
Xeon Platinum 8461V
Xeon Platinum 8462Y+
Xeon Platinum 8468
Xeon Platinum 8468H
Xeon Platinum 8468V
Xeon Platinum 8470
Xeon Platinum 8470N
Xeon Platinum 8470Q
Xeon Platinum 8471N
Xeon Platinum 8473C
Xeon Platinum 8480+
Xeon Platinum 8490H
Xeon Silver 4410T
Xeon Silver 4410Y
Xeon Silver 4416+
Xeon w3-2423
Xeon w3-2425
Xeon w3-2435
Xeon w5-2445
Xeon w5-2455X
Xeon w5-2465X
Xeon w5-3425
Xeon w5-3435X
Xeon w7-2475X
Xeon w7-2495X
Xeon w7-3445
Xeon w7-3455
Xeon w7-3465X
Xeon w9-3475X
Xeon w9-3495X
Xeon Platinum 8488C
Xeon 6455B
Xeon Platinum 8481C
